Cost Code,Description,Supplier/Subcontractor,Src,Tran Type,Internal Ref,External Ref,PO Number,Quantity,Unit
m231,Sympafix pin C70-40 for GT/C70 and GT4C (700,Etag UK,PL,PINV,22030051,223239,PO003224,15,BOX
M231,Multitool blades 64mm,Etag UK,PL,PINV,22030051,223239,PO003224,30,EA
M231,Insulation anchor 8x110mm (100 bx),Etag UK,PL,PINV,22030052,223234,PO003220,50,BOX
M231,Insulation anchor washer 70mm diameter with 8,Etag UK,PL,PINV,22030072,223429,PO003267,50,BOX
M231,Holesaw 44mm,Etag UK,PL,PINV,22030073,223401,PO003260,10,EA
M231,Holesaw Arbor 32mm-210mm,Etag UK,PL,PINV,22030073,223401,PO003260,10,EA
M231,Drill Bit SDS 6 x 260mm,Etag UK,PL,PINV,22030073,223401,PO003260,30,EA
M231,M,Etag UK,PL,PCRN,22030159,7232,,0,
m231,Framing Square 400mmx600mm,VJ Technology Limited,PL,PINV,22030182,INV3150408,PO003284,2,EA
M231,Sanding Block Fine/Medium,Etag UK,PL,PINV,22030186,223743,PO003285,100,EA
M231,Sandpaper for electric sander 150 grit(25),Etag UK,PL,PINV,22030186,223743,PO003285,30,PK
M231,Drill Bit SDS Plus 5.5x160,Etag UK,PL,PINV,22030187,223760,PO003295,8,EA
M231,Tape Aluminium Foil 100mm,Etag UK,PL,PINV,22030187,223760,PO003295,100,EA
M231,Holesaw 44mm,Etag UK,PL,PINV,22030187,223760,PO003295,20,EA
M231,Holesaw 32mm,Etag UK,PL,PINV,22030187,223760,PO003295,20,EA
M231,Platform Hop Up,Etag UK,PL,PINV,22030187,223760,PO003295,5,EA
M231,Platform Hop Up,Etag UK,PL,PINV,22030187,223760,PO003295,5,EA
m231,Sympafix pin C70-27-XP for GT/C70 and GT4C (7,Etag UK,PL,PINV,22030224,223917,PO003024,6,BOX
m231,Sympafix pin C70-27-XP for GT/C70 and GT4C (7,Etag UK,PL,PINV,22030225,223915,PO002845,4,BOX
M231,Drill Bit SDS Plus 5.5x160,Etag UK,PL,PINV,22030281,224354,PO003295,32,EA
